Participant, Adaptor, Proportion, DV, IV, BaseSize, Setting, RT
2,baseline,4,SF,size,4,3.0326,2.1408
2,baseline,4,SF,size,4,3.4385,2.5221
2,baseline,4,SF,size,4,2.789,1.2275
2,baseline,0.25,SF,size,4,4.6093,3.0447
2,baseline,0.25,SF,size,4,0.67185,2.0926
2,baseline,0.25,SF,size,4,1.1103,2.639
2,baseline,0.25,SF,size,4,3.4385,3.3979
2,baseline,0.5,SF,size,4,5.6826,2.5435
2,baseline,0.5,SF,size,4,6.443,3.1368
2,baseline,0.5,SF,size,4,5.4496,1.9185
2,baseline,0.5,SF,size,4,3.2975,2.8833
2,baseline,0.71,SF,size,4,4.4203,2.4983
2,baseline,0.71,SF,size,4,6.443,3.2698
2,baseline,0.71,SF,size,4,4.6093,1.6996
2,baseline,0.71,SF,size,4,3.2975,3.9882
2,baseline,1,SF,size,4,4.8064,4.6571
2,baseline,1,SF,size,4,5.4496,1.7124
2,baseline,1,SF,size,4,3.5855,1.7034
2,baseline,1,SF,size,4,4.6093,2.4091
2,baseline,1.41,SF,size,4,4.0653,1.8742
2,baseline,1.41,SF,size,4,5.4496,1.4718
2,baseline,1.41,SF,size,4,3.5855,3.0134
2,baseline,1.41,SF,size,4,3.2975,3.7008
2,baseline,2,SF,size,4,2.9083,3.3466
2,baseline,2,SF,size,4,4.6093,1.346
2,baseline,2,SF,size,4,3.2975,1.7045
2,baseline,2,SF,size,4,2.789,4.6121
2,baseline,4,SF,size,4,3.2975,2.3274
2,baseline,4,SF,size,4,4.8064,3.4723
2,baseline,4,SF,size,4,2.789,2.2073
2,baseline,4,SF,size,4,3.1623,2.528
2,baseline,0.25,SF,size,8,5.4496,4.2158
2,baseline,0.25,SF,size,8,2.4599,4.9391
2,baseline,0.25,SF,size,8,3.5855,3.9301
2,baseline,0.25,SF,size,8,4.6093,5.414
2,baseline,0.5,SF,size,8,6.7185,2.1248
2,baseline,0.5,SF,size,8,4.8064,5.5493
2,baseline,0.5,SF,size,8,3.2975,3.8876
2,baseline,0.5,SF,size,8,2.565,3.3936
2,baseline,0.71,SF,size,8,1.9953,4.1946
2,baseline,0.71,SF,size,8,3.2975,3.0963
2,baseline,0.71,SF,size,8,3.4385,2.4377
2,baseline,0.71,SF,size,8,4.0653,3.7197
2,baseline,1,SF,size,8,5.4496,5.409
2,baseline,1,SF,size,8,4.6093,2.8662
2,baseline,1,SF,size,8,3.0326,1.7939
2,baseline,1,SF,size,8,4.4203,1.6182
2,baseline,1.41,SF,size,8,4.8064,4.1194
2,baseline,1.41,SF,size,8,4.8064,1.9905
2,baseline,1.41,SF,size,8,4.0653,2.4937
2,baseline,1.41,SF,size,8,4.0653,2.2429
2,baseline,2,SF,size,8,3.5855,1.7734
2,baseline,2,SF,size,8,2.0806,2.4987
2,baseline,2,SF,size,8,3.4385,1.9141
2,baseline,2,SF,size,8,3.5855,2.257
2,baseline,4,SF,size,8,2.6747,3.8722
2,baseline,4,SF,size,8,2.359,1.7767
2,baseline,4,SF,size,8,2.0806,3.9884
2,baseline,4,SF,size,8,3.0326,2.2827
2,baseline,0.25,SF,size,8,4.4203,6.5427
2,baseline,0.25,SF,size,8,3.4385,4.248
2,baseline,0.25,SF,size,8,3.8986,6.3999
2,baseline,0.25,SF,size,8,2.9083,3.6189
2,baseline,0.5,SF,size,8,2.2623,3.9804
2,baseline,0.5,SF,size,8,3.7388,4.2986
2,baseline,0.5,SF,size,8,4.2391,5.1727
2,baseline,0.5,SF,size,8,5.0119,3.475
2,baseline,0.71,SF,size,8,5.4496,3.0863
2,baseline,0.71,SF,size,8,5.2261,7.1744
2,baseline,0.71,SF,size,8,3.1623,7.0112
2,baseline,0.71,SF,size,8,5.0119,1.3987
2,baseline,1,SF,size,8,3.4385,4.5638
2,baseline,1,SF,size,8,4.8064,4.7503
2,baseline,1,SF,size,8,3.5855,3.0935
2,baseline,1,SF,size,8,4.2391,5.1407
2,baseline,1.41,SF,size,8,4.8064,4.7434
2,baseline,1.41,SF,size,8,4.6093,2.658
2,baseline,1.41,SF,size,8,4.0653,5.8551
2,baseline,1.41,SF,size,8,3.7388,1.5986
2,baseline,2,SF,size,8,4.0653,2.8121
2,baseline,2,SF,size,8,4.2391,3.4879
2,baseline,2,SF,size,8,4.6093,2.1361
2,baseline,2,SF,size,8,3.5855,2.6435
2,baseline,4,SF,size,8,4.8064,3.0313
2,baseline,4,SF,size,8,3.7388,3.1469
2,baseline,4,SF,size,8,4.2391,5.9949
2,baseline,4,SF,size,8,3.5855,3.5159
2,baseline,0.25,SF,SF,4,1.6184,4.5987
2,baseline,0.25,SF,SF,4,1.3689,3.4063
2,baseline,0.25,SF,SF,4,1.3127,2.7697
2,baseline,0.25,SF,SF,4,1.0212,3.1134
2,baseline,0.5,SF,SF,4,2.1695,1.0274
2,baseline,0.5,SF,SF,4,2.2623,2.3085
2,baseline,0.5,SF,SF,4,2.1695,3.0425
2,baseline,0.5,SF,SF,4,1.3689,3.4518
2,baseline,0.71,SF,SF,4,2.1695,2.6992
2,baseline,0.71,SF,SF,4,3.7388,1.8577
2,baseline,0.71,SF,SF,4,3.1623,3.2893
2,baseline,0.71,SF,SF,4,2.359,4.4089
2,baseline,1,SF,SF,4,3.2975,1.9471
2,baseline,1,SF,SF,4,2.565,4.3272
2,baseline,1,SF,SF,4,4.8064,3.6783
2,baseline,1,SF,SF,4,4.4203,1.8121
2,baseline,1.41,SF,SF,4,5.9255,1.0396
2,baseline,1.41,SF,SF,4,5.6826,5.4295
2,baseline,1.41,SF,SF,4,4.2391,2.4611
2,baseline,1.41,SF,SF,4,5.0119,2.5174
2,baseline,2,SF,SF,4,9.3913,3.9328
2,baseline,2,SF,SF,4,4.6093,3.3472
2,baseline,2,SF,SF,4,7.6176,2.6853
2,baseline,2,SF,SF,4,8.2829,1.5979
2,baseline,4,SF,SF,4,12.0731,4.4321
2,baseline,4,SF,SF,4,12.0731,3.5979
2,baseline,4,SF,SF,4,7.0057,2.9621
2,baseline,4,SF,SF,4,10.2115,3.2734
2,baseline,0.25,SF,SF,4,1.3127,3.1575
2,baseline,0.25,SF,SF,4,1.1578,3.0407
2,baseline,0.25,SF,SF,4,0.97928,2.5338
2,baseline,0.25,SF,SF,4,1.2073,2.8876
2,baseline,0.5,SF,SF,4,1.9953,2.8771
2,baseline,0.5,SF,SF,4,2.359,1.4442
2,baseline,0.5,SF,SF,4,3.5855,3.485
2,baseline,0.5,SF,SF,4,2.1695,2.0469
2,baseline,0.71,SF,SF,4,2.0806,2.6843
2,baseline,0.71,SF,SF,4,2.4599,3.9847
2,baseline,0.71,SF,SF,4,3.0326,1.7271
2,baseline,0.71,SF,SF,4,4.2391,2.3029
2,baseline,1,SF,SF,4,4.4203,1.9358
2,baseline,1,SF,SF,4,3.5855,1.6019
2,baseline,1,SF,SF,4,5.2261,2.9198
2,baseline,1,SF,SF,4,4.4203,1.7611
2,baseline,1.41,SF,SF,4,5.6826,1.6382
2,baseline,1.41,SF,SF,4,8.2829,4.4932
2,baseline,1.41,SF,SF,4,5.2261,1.8799
2,baseline,1.41,SF,SF,4,3.5855,1.6367
2,baseline,2,SF,SF,4,9.0063,1.7746
2,baseline,2,SF,SF,4,6.7185,4.4903
2,baseline,2,SF,SF,4,7.0057,1.4008
2,baseline,2,SF,SF,4,7.3053,1.508
2,baseline,4,SF,SF,4,12.5893,1.382
2,baseline,4,SF,SF,4,14.8843,2.565
2,baseline,4,SF,SF,4,18.35,1.0571
2,baseline,4,SF,SF,4,18.35,1.2404
2,baseline,0.25,SF,SF,8,1.3689,4.9962
2,baseline,0.25,SF,SF,8,1.6184,3.5623
2,baseline,0.25,SF,SF,8,1.9135,4.2747
2,baseline,0.25,SF,SF,8,1.3127,1.9227
2,baseline,0.5,SF,SF,8,1.7598,2.8576
2,baseline,0.5,SF,SF,8,2.2623,3.8852
2,baseline,0.5,SF,SF,8,2.1695,2.9067
2,baseline,0.5,SF,SF,8,2.565,3.7834
2,baseline,0.71,SF,SF,8,3.7388,3.3442
2,baseline,0.71,SF,SF,8,2.0806,4.2432
2,baseline,0.71,SF,SF,8,2.789,2.5654
2,baseline,0.71,SF,SF,8,2.0806,4.152
2,baseline,1,SF,SF,8,3.1623,9.5864
2,baseline,1,SF,SF,8,2.0806,4.2048
2,baseline,1,SF,SF,8,3.5855,3.8591
2,baseline,1,SF,SF,8,4.0653,3.3149
2,baseline,1.41,SF,SF,8,6.443,2.5227
2,baseline,1.41,SF,SF,8,4.2391,6.6107
2,baseline,1.41,SF,SF,8,5.0119,3.6391
2,baseline,1.41,SF,SF,8,3.5855,3.8568
2,baseline,2,SF,SF,8,8.637,1.1154
2,baseline,2,SF,SF,8,7.0057,2.3475
2,baseline,2,SF,SF,8,7.0057,4.0675
2,baseline,2,SF,SF,8,5.9255,5.3912
2,baseline,4,SF,SF,8,31.6228,13.6277
2,baseline,4,SF,SF,8,13.1275,4.3999
2,baseline,4,SF,SF,8,22.6228,1.4711
2,baseline,4,SF,SF,8,7.3053,3.8484
2,baseline,0.25,SF,SF,8,1.6876,6.3549
2,baseline,0.25,SF,SF,8,1.835,4.7564
2,baseline,0.25,SF,SF,8,1.6184,3.8256
2,baseline,0.25,SF,SF,8,1.6876,3.5865
2,baseline,0.5,SF,SF,8,1.9135,0.94255
2,baseline,0.5,SF,SF,8,2.789,3.9683
2,baseline,0.5,SF,SF,8,3.7388,5.2984
2,baseline,0.5,SF,SF,8,3.0326,3.4168
2,baseline,0.71,SF,SF,8,3.0326,4.387
2,baseline,0.71,SF,SF,8,2.6747,4.1442
2,baseline,0.71,SF,SF,8,2.6747,3.4776
2,baseline,0.71,SF,SF,8,4.4203,3.814
2,baseline,1,SF,SF,8,4.0653,2.3429
2,baseline,1,SF,SF,8,4.8064,3.0529
2,baseline,1,SF,SF,8,2.9083,1.8125
2,baseline,1,SF,SF,8,3.1623,2.651
2,baseline,1.41,SF,SF,8,4.8064,5.5652
2,baseline,1.41,SF,SF,8,7.3053,4.6816
2,baseline,1.41,SF,SF,8,3.7388,2.6236
2,baseline,1.41,SF,SF,8,4.4203,2.322
2,baseline,2,SF,SF,8,6.7185,6.793
2,baseline,2,SF,SF,8,7.3053,3.8302
2,baseline,2,SF,SF,8,4.2391,3.0105
2,baseline,2,SF,SF,8,5.9255,1.7809
2,baseline,4,SF,SF,8,13.6887,4.2532
2,baseline,4,SF,SF,8,10.2115,4.6736
2,baseline,4,SF,SF,8,23.59,1.4386
2,baseline,4,SF,SF,8,10.2115,3.2083
2,parallel,0.25,size,size,4,0.8125,2.8623
2,parallel,0.25,size,size,4,0.875,2.4749
2,parallel,0.25,size,size,4,0.75,3.1372
2,parallel,0.25,size,size,4,0.9375,1.3502
2,parallel,0.5,size,size,4,1.875,2.425
2,parallel,0.5,size,size,4,1.3125,1.2878
2,parallel,0.5,size,size,4,2,2.6624
2,parallel,0.5,size,size,4,1.9375,2.2626
2,parallel,0.71,size,size,4,2.75,2.5374
2,parallel,0.71,size,size,4,2.125,2.3749
2,parallel,0.71,size,size,4,2.625,1.5005
2,parallel,0.71,size,size,4,2.375,1.7377
2,parallel,1,size,size,4,3.875,2.1875
2,parallel,1,size,size,4,4.8125,1.7502
2,parallel,1,size,size,4,5.0625,1.7252
2,parallel,1,size,size,4,4.4375,1.5877
2,parallel,1.41,size,size,4,6.1875,1.9626
2,parallel,1.41,size,size,4,5.875,2.4124
2,parallel,1.41,size,size,4,6.3125,1.2004
2,parallel,1.41,size,size,4,5.8125,2.4874
2,parallel,2,size,size,4,9.5,1.3253
2,parallel,2,size,size,4,8.125,1.3127
2,parallel,2,size,size,4,8.6875,1.4003
2,parallel,2,size,size,4,6.875,2.4876
2,parallel,4,size,size,4,15.75,1.9379
2,parallel,4,size,size,4,16.3125,2.8749
2,parallel,4,size,size,4,16.1875,1.6252
2,parallel,4,size,size,4,18.25,0.92537
2,parallel,0.25,size,size,4,0.8125,2.5499
2,parallel,0.25,size,size,4,0.6875,1.0505
2,parallel,0.25,size,size,4,1,2.9498
2,parallel,0.25,size,size,4,1.375,2.4126
2,parallel,0.5,size,size,4,1.625,1.1253
2,parallel,0.5,size,size,4,1.9375,2.8123
2,parallel,0.5,size,size,4,1.6875,2.7624
2,parallel,0.5,size,size,4,1.75,1.9876
2,parallel,0.71,size,size,4,2.8125,2.5624
2,parallel,0.71,size,size,4,2.9375,1.9126
2,parallel,0.71,size,size,4,2.75,3.1624
2,parallel,0.71,size,size,4,2.8125,1.1253
2,parallel,1,size,size,4,4.5,1.6876
2,parallel,1,size,size,4,4.1875,2.5749
2,parallel,1,size,size,4,4,1.4001
2,parallel,1,size,size,4,4.625,1.2253
2,parallel,1.41,size,size,4,6.75,3.2872
2,parallel,1.41,size,size,4,6.875,2.0875
2,parallel,1.41,size,size,4,6.375,1.6255
2,parallel,1.41,size,size,4,7,1.4878
2,parallel,2,size,size,4,10.0625,1.5502
2,parallel,2,size,size,4,8.375,1.9751
2,parallel,2,size,size,4,8.5625,2.3
2,parallel,2,size,size,4,9.25,1.8876
2,parallel,4,size,size,4,16.8125,2.2
2,parallel,4,size,size,4,17.625,2.1751
2,parallel,4,size,size,4,16.875,2.0626
2,parallel,4,size,size,4,17.25,1.5127
2,parallel,0.25,size,size,8,2,1.6377
2,parallel,0.25,size,size,8,2.625,2.7499
2,parallel,0.25,size,size,8,1.75,2.2375
2,parallel,0.25,size,size,8,2.3125,1.5877
2,parallel,0.5,size,size,8,4,3.1622
2,parallel,0.5,size,size,8,4.375,1.6127
2,parallel,0.5,size,size,8,4.25,2.4875
2,parallel,0.5,size,size,8,3.75,1.6751
2,parallel,0.71,size,size,8,6.25,2.1
2,parallel,0.71,size,size,8,4.875,2.3874
2,parallel,0.71,size,size,8,6.125,2.7999
2,parallel,0.71,size,size,8,5.5625,1.3253
2,parallel,1,size,size,8,8.5625,2.05
2,parallel,1,size,size,8,9.4375,2.8248
2,parallel,1,size,size,8,10.125,1.9253
2,parallel,1,size,size,8,8.125,1.3502
2,parallel,1.41,size,size,8,11.0625,2.7249
2,parallel,1.41,size,size,8,14.375,2.0001
2,parallel,1.41,size,size,8,11.625,1.8876
2,parallel,1.41,size,size,8,12.875,2.6999
2,parallel,2,size,size,8,17.5,1.9626
2,parallel,2,size,size,8,15.125,2.7374
2,parallel,2,size,size,8,17.3125,1.9876
2,parallel,2,size,size,8,18.8125,1.8626
2,parallel,4,size,size,8,31.625,1.3377
2,parallel,4,size,size,8,31.0625,3.3497
2,parallel,4,size,size,8,33.875,2.675
2,parallel,4,size,size,8,35.8125,2.475
2,parallel,0.25,size,size,8,2.125,2.5375
2,parallel,0.25,size,size,8,1.8125,1.6002
2,parallel,0.25,size,size,8,2.625,2.8375
2,parallel,0.25,size,size,8,2.875,3.7621
2,parallel,0.5,size,size,8,3.375,1.3003
2,parallel,0.5,size,size,8,3.8125,1.5252
2,parallel,0.5,size,size,8,2.75,1.5252
2,parallel,0.5,size,size,8,5.25,2.325
2,parallel,0.71,size,size,8,6.375,1.5753
2,parallel,0.71,size,size,8,5.5,1.8751
2,parallel,0.71,size,size,8,6.4375,1.2874
2,parallel,0.71,size,size,8,5.4375,1.6002
2,parallel,1,size,size,8,8,1.752
2,parallel,1,size,size,8,10.3125,2.45
2,parallel,1,size,size,8,9.6875,1.6627
2,parallel,1,size,size,8,11,2.2
2,parallel,1.41,size,size,8,14.25,2.0251
2,parallel,1.41,size,size,8,14.5,1.9376
2,parallel,1.41,size,size,8,15.375,1.6752
2,parallel,1.41,size,size,8,11.5625,2.3625
2,parallel,2,size,size,8,15.5625,2.0875
2,parallel,2,size,size,8,17.5625,2.0501
2,parallel,2,size,size,8,18.5625,1.3003
2,parallel,2,size,size,8,18.9375,1.3627
2,parallel,4,size,size,8,37.375,2.6124
2,parallel,4,size,size,8,35.125,0.92534
2,parallel,4,size,size,8,33.75,2.2625
2,parallel,4,size,size,8,33.875,2.5999
2,parallel,0.25,size,SF,4,4.375,2.9997
2,parallel,0.25,size,SF,4,3.8125,2.2752
2,parallel,0.25,size,SF,4,3.6875,1.8126
2,parallel,0.25,size,SF,4,4.25,1.5003
2,parallel,0.5,size,SF,4,4.4375,3.2374
2,parallel,0.5,size,SF,4,4.6875,1.4876
2,parallel,0.5,size,SF,4,4,1.2878
2,parallel,0.5,size,SF,4,5.125,1.6502
2,parallel,0.71,size,SF,4,3.875,2.1126
2,parallel,0.71,size,SF,4,4.625,2.6249
2,parallel,0.71,size,SF,4,3.4375,3.3372
2,parallel,0.71,size,SF,4,4.5625,2.5374
2,parallel,1,size,SF,4,4,1.9001
2,parallel,1,size,SF,4,4.5625,6.7112
2,parallel,1,size,SF,4,4.375,2.0126
2,parallel,1,size,SF,4,4.0625,2.0001
2,parallel,1.41,size,SF,4,4.0625,3.2747
2,parallel,1.41,size,SF,4,4.625,2.4874
2,parallel,1.41,size,SF,4,3.75,2.1625
2,parallel,1.41,size,SF,4,4.5,2.6874
2,parallel,2,size,SF,4,4,2.2625
2,parallel,2,size,SF,4,4.25,1.6379
2,parallel,2,size,SF,4,4.125,2.1876
2,parallel,2,size,SF,4,4.25,3.3496
2,parallel,4,size,SF,4,4.875,2.4249
2,parallel,4,size,SF,4,5.5,1.7001
2,parallel,4,size,SF,4,4.75,1.6875
2,parallel,4,size,SF,4,5.125,2.5375
2,parallel,0.25,size,SF,4,4.125,4.3369
2,parallel,0.25,size,SF,4,4.3125,3.1248
2,parallel,0.25,size,SF,4,4.4375,1.7251
2,parallel,0.25,size,SF,4,4.0625,1.6251
2,parallel,0.5,size,SF,4,3.875,1.7126
2,parallel,0.5,size,SF,4,3.8125,1.0503
2,parallel,0.5,size,SF,4,4.25,2.1
2,parallel,0.5,size,SF,4,4.8125,2.125
2,parallel,0.71,size,SF,4,4.25,2.175
2,parallel,0.71,size,SF,4,4.3125,1.5002
2,parallel,0.71,size,SF,4,4.5,2.0001
2,parallel,0.71,size,SF,4,4.25,2.0877
2,parallel,1,size,SF,4,4.3125,1.7626
2,parallel,1,size,SF,4,4.5,2.5999
2,parallel,1,size,SF,4,4.1875,2.075
2,parallel,1,size,SF,4,4.9375,1.8876
2,parallel,1.41,size,SF,4,4.1875,1.2378
2,parallel,1.41,size,SF,4,4.3125,1.8501
2,parallel,1.41,size,SF,4,4.375,1.7001
2,parallel,1.41,size,SF,4,4.875,2.1001
2,parallel,2,size,SF,4,4.75,2.4875
2,parallel,2,size,SF,4,3.875,1.1003
2,parallel,2,size,SF,4,4.3125,2.275
2,parallel,2,size,SF,4,4.1875,3.1747
2,parallel,4,size,SF,4,7.25,1.7126
2,parallel,4,size,SF,4,4.75,1.3003
2,parallel,4,size,SF,4,5.5,1.1878
2,parallel,4,size,SF,4,4.4375,1.6376
2,parallel,0.25,size,SF,8,8.875,1.4877
2,parallel,0.25,size,SF,8,9.0625,2.175
2,parallel,0.25,size,SF,8,7.8125,3.0622
2,parallel,0.25,size,SF,8,7.5,2.2125
2,parallel,0.5,size,SF,8,8.5,2.8498
2,parallel,0.5,size,SF,8,8.375,3.0623
2,parallel,0.5,size,SF,8,9.375,1.3753
2,parallel,0.5,size,SF,8,8,2.9498
2,parallel,0.71,size,SF,8,8.5625,2.8999
2,parallel,0.71,size,SF,8,9.1875,1.9002
2,parallel,0.71,size,SF,8,8.75,1.8126
2,parallel,0.71,size,SF,8,7.75,2.4
2,parallel,1,size,SF,8,7.5,1.727
2,parallel,1,size,SF,8,9.625,2.0876
2,parallel,1,size,SF,8,9.25,1.9879
2,parallel,1,size,SF,8,8.875,2.7626
2,parallel,1.41,size,SF,8,8.25,3.3122
2,parallel,1.41,size,SF,8,8.0625,2.9248
2,parallel,1.41,size,SF,8,8.875,2.9623
2,parallel,1.41,size,SF,8,9.375,2.7249
2,parallel,2,size,SF,8,9.3125,2.8123
2,parallel,2,size,SF,8,9.8125,2.325
2,parallel,2,size,SF,8,8.875,1.6002
2,parallel,2,size,SF,8,8,2.8248
2,parallel,4,size,SF,8,8,1.9627
2,parallel,4,size,SF,8,9.4375,1.8001
2,parallel,4,size,SF,8,8.5625,2.275
2,parallel,4,size,SF,8,4.8125,2.5
2,parallel,0.25,size,SF,8,9.25,2.7498
2,parallel,0.25,size,SF,8,8.6875,2.5124
2,parallel,0.25,size,SF,8,8.75,2.2002
2,parallel,0.25,size,SF,8,8.75,2.0126
2,parallel,0.5,size,SF,8,9.125,2.3749
2,parallel,0.5,size,SF,8,8.9375,1.5002
2,parallel,0.5,size,SF,8,9.1875,1.4252
2,parallel,0.5,size,SF,8,8.4375,3.2998
2,parallel,0.71,size,SF,8,8.8125,2.3625
2,parallel,0.71,size,SF,8,9.5,2.3
2,parallel,0.71,size,SF,8,9.8125,1.8626
2,parallel,0.71,size,SF,8,9.3125,2.0376
2,parallel,1,size,SF,8,9.125,2.0875
2,parallel,1,size,SF,8,10.75,2.6874
2,parallel,1,size,SF,8,11.375,1.4252
2,parallel,1,size,SF,8,9.5,2.2125
2,parallel,1.41,size,SF,8,10.3125,3.2872
2,parallel,1.41,size,SF,8,8.5625,2.4749
2,parallel,1.41,size,SF,8,10.25,3.3747
2,parallel,1.41,size,SF,8,9.625,2.1625
2,parallel,2,size,SF,8,8.625,2.5249
2,parallel,2,size,SF,8,8.9375,2.025
2,parallel,2,size,SF,8,9.625,1.8251
2,parallel,2,size,SF,8,8.1875,1.8751
2,parallel,4,size,SF,8,5.6875,2.0251
2,parallel,4,size,SF,8,6.75,1.4627
2,parallel,4,size,SF,8,7.875,1.3629
2,parallel,4,size,SF,8,13.9375,2.5998
2,parallel,0.25,SF,size,4,3.1623,2.0452
2,parallel,0.25,SF,size,4,2.789,2.7816
2,parallel,0.25,SF,size,4,1.9135,1.6552
2,parallel,0.25,SF,size,4,1.9135,1.6733
2,parallel,0.5,SF,size,4,2.1695,7.7646
2,parallel,0.5,SF,size,4,2.9083,2.748
2,parallel,0.5,SF,size,4,3.0326,4.049
2,parallel,0.5,SF,size,4,2.4599,2.7557
2,parallel,0.71,SF,size,4,3.4385,4.4008
2,parallel,0.71,SF,size,4,2.6747,2.6707
2,parallel,0.71,SF,size,4,2.4599,3.3456
2,parallel,0.71,SF,size,4,3.1623,3.8777
2,parallel,1,SF,size,4,4.2391,5.6342
2,parallel,1,SF,size,4,4.6093,1.86
2,parallel,1,SF,size,4,2.565,3.8039
2,parallel,1,SF,size,4,4.2391,2.9123
2,parallel,1.41,SF,size,4,3.5855,4.6131
2,parallel,1.41,SF,size,4,4.2391,3.1322
2,parallel,1.41,SF,size,4,4.6093,2.8551
2,parallel,1.41,SF,size,4,4.0653,4.2611
2,parallel,2,SF,size,4,4.4203,3.276
2,parallel,2,SF,size,4,4.2391,5.9337
2,parallel,2,SF,size,4,4.0653,5.3203
2,parallel,2,SF,size,4,4.8064,2.2583
2,parallel,4,SF,size,4,4.2391,5.3514
2,parallel,4,SF,size,4,2.789,2.6532
2,parallel,4,SF,size,4,4.0653,4.0344
2,parallel,4,SF,size,4,3.5855,3.9941
2,parallel,0.25,SF,size,4,2.565,5.3061
2,parallel,0.25,SF,size,4,2.6747,3.9894
2,parallel,0.25,SF,size,4,1.2073,1.29
2,parallel,0.25,SF,size,4,1.9953,2.8122
2,parallel,0.5,SF,size,4,4.2391,3.0735
2,parallel,0.5,SF,size,4,4.0653,3.5172
2,parallel,0.5,SF,size,4,3.1623,2.8174
2,parallel,0.5,SF,size,4,2.9083,3.433
2,parallel,0.71,SF,size,4,2.0806,2.8516
2,parallel,0.71,SF,size,4,4.4203,2.7615
2,parallel,0.71,SF,size,4,2.2623,3.364
2,parallel,0.71,SF,size,4,3.2975,3.1456
2,parallel,1,SF,size,4,3.4385,2.7908
2,parallel,1,SF,size,4,2.4599,3.0096
2,parallel,1,SF,size,4,5.6826,2.6924
2,parallel,1,SF,size,4,4.6093,2.6297
2,parallel,1.41,SF,size,4,3.5855,1.3623
2,parallel,1.41,SF,size,4,3.1623,4.0988
2,parallel,1.41,SF,size,4,4.6093,1.9414
2,parallel,1.41,SF,size,4,3.4385,1.9056
2,parallel,2,SF,size,4,2.565,2.6898
2,parallel,2,SF,size,4,3.8986,4.6995
2,parallel,2,SF,size,4,4.2391,5.1977
2,parallel,2,SF,size,4,5.0119,4.0232
2,parallel,4,SF,size,4,4.0653,5.5547
2,parallel,4,SF,size,4,2.9083,2.9203
2,parallel,4,SF,size,4,3.5855,5.4961
2,parallel,4,SF,size,4,3.1623,3.2853
2,parallel,0.25,SF,size,8,4.2391,7.5805
2,parallel,0.25,SF,size,8,3.0326,2.9372
2,parallel,0.25,SF,size,8,4.0653,1.8816
2,parallel,0.25,SF,size,8,4.2391,1.8165
2,parallel,0.5,SF,size,8,4.0653,3.9452
2,parallel,0.5,SF,size,8,3.0326,1.9165
2,parallel,0.5,SF,size,8,3.0326,1.2409
2,parallel,0.5,SF,size,8,2.2623,2.9707
2,parallel,0.71,SF,size,8,2.9083,7.2717
2,parallel,0.71,SF,size,8,4.4203,5.0499
2,parallel,0.71,SF,size,8,3.1623,4.0676
2,parallel,0.71,SF,size,8,2.789,2.0507
2,parallel,1,SF,size,8,3.1623,2.557
2,parallel,1,SF,size,8,2.2623,5.8371
2,parallel,1,SF,size,8,2.0806,3.2509
2,parallel,1,SF,size,8,3.8986,3.8345
2,parallel,1.41,SF,size,8,5.6826,3.021
2,parallel,1.41,SF,size,8,4.6093,3.0883
2,parallel,1.41,SF,size,8,4.0653,2.8994
2,parallel,1.41,SF,size,8,2.6747,2.469
2,parallel,2,SF,size,8,4.8064,3.3819
2,parallel,2,SF,size,8,2.2623,4.7387
2,parallel,2,SF,size,8,4.2391,2.6487
2,parallel,2,SF,size,8,4.6093,4.2567
2,parallel,4,SF,size,8,3.1623,3.3608
2,parallel,4,SF,size,8,3.2975,1.8932
2,parallel,4,SF,size,8,3.8986,3.361
2,parallel,4,SF,size,8,2.359,3.1257
2,parallel,0.25,SF,size,8,4.6093,2.9015
2,parallel,0.25,SF,size,8,2.565,4.8435
2,parallel,0.25,SF,size,8,2.1695,4.0293
2,parallel,0.25,SF,size,8,4.8064,4.6961
2,parallel,0.5,SF,size,8,2.0806,5.4788
2,parallel,0.5,SF,size,8,4.0653,2.4862
2,parallel,0.5,SF,size,8,5.0119,1.4001
2,parallel,0.5,SF,size,8,3.7388,3.2762
2,parallel,0.71,SF,size,8,2.2623,3.5419
2,parallel,0.71,SF,size,8,4.8064,4.5212
2,parallel,0.71,SF,size,8,2.6747,3.1338
2,parallel,0.71,SF,size,8,2.565,5.0097
2,parallel,1,SF,size,8,2.6747,4.2595
2,parallel,1,SF,size,8,4.4203,3.2515
2,parallel,1,SF,size,8,2.9083,1.8973
2,parallel,1,SF,size,8,1.835,4.8172
2,parallel,1.41,SF,size,8,4.2391,2.7181
2,parallel,1.41,SF,size,8,4.6093,6.4114
2,parallel,1.41,SF,size,8,4.4203,3.7411
2,parallel,1.41,SF,size,8,1.835,2.6922
2,parallel,2,SF,size,8,2.6747,5.6891
2,parallel,2,SF,size,8,2.359,1.9161
2,parallel,2,SF,size,8,4.0653,4.9759
2,parallel,2,SF,size,8,2.1695,2.8648
2,parallel,4,SF,size,8,2.789,4.5925
2,parallel,4,SF,size,8,2.789,3.4421
2,parallel,4,SF,size,8,3.2975,3.9753
2,parallel,4,SF,size,8,3.2975,4.1161
2,parallel,0.25,SF,SF,4,1.0648,7.9363
2,parallel,0.25,SF,SF,4,0.97928,7.508
2,parallel,0.25,SF,SF,4,0.97928,5.0577
2,parallel,0.25,SF,SF,4,0.73053,1.9937
2,parallel,0.5,SF,SF,4,2.1695,4.4331
2,parallel,0.5,SF,SF,4,1.835,2.7979
2,parallel,0.5,SF,SF,4,1.3689,1.2023
2,parallel,0.5,SF,SF,4,1.4274,2.5875
