Participant, Adaptor, Proportion, DV, IV, BaseSize, Setting, RT
1,baseline,1.41,size,SF,4,5.25,2.225
1,baseline,1.41,size,SF,4,5.9375,2.8999
1,baseline,1.41,size,SF,4,6,1.9251
1,baseline,2,size,SF,4,5.125,1.6627
1,baseline,2,size,SF,4,5.1875,3.0624
1,baseline,2,size,SF,4,5.875,3.3498
1,baseline,2,size,SF,4,5.625,4.037
1,baseline,4,size,SF,4,5.1875,2.325
1,baseline,4,size,SF,4,5.5625,2.6749
1,baseline,4,size,SF,4,4.625,3.1872
1,baseline,4,size,SF,4,5.0625,2.8498
1,baseline,0.25,size,SF,4,4.9375,2.3125
1,baseline,0.25,size,SF,4,5.6875,1.9751
1,baseline,0.25,size,SF,4,6.0625,3.987
1,baseline,0.25,size,SF,4,5.9375,2.3005
1,baseline,0.5,size,SF,4,5.3125,2.6249
1,baseline,0.5,size,SF,4,5.8125,2.4374
1,baseline,0.5,size,SF,4,6.5625,1.5252
1,baseline,0.5,size,SF,4,6,2.7498
1,baseline,0.71,size,SF,4,5.375,2.325
1,baseline,0.71,size,SF,4,5.4375,3.6496
1,baseline,0.71,size,SF,4,6.3125,2.2127
1,baseline,0.71,size,SF,4,5.875,2.5499
1,baseline,1,size,SF,4,5.5625,2.0251
1,baseline,1,size,SF,4,6.125,1.9251
1,baseline,1,size,SF,4,6,3.0998
1,baseline,1,size,SF,4,6.0625,2.4125
1,baseline,1.41,size,SF,4,4.75,2.451
1,baseline,1.41,size,SF,4,5.5625,2.0001
1,baseline,1.41,size,SF,4,6.875,4.237
1,baseline,1.41,size,SF,4,5.9375,2.375
1,baseline,2,size,SF,4,5.625,3.4372
1,baseline,2,size,SF,4,4.5625,2.8124
1,baseline,2,size,SF,4,6.1875,2.8373
1,baseline,2,size,SF,4,5.375,3.3261
1,baseline,4,size,SF,4,5.5,6.0614
1,baseline,4,size,SF,4,6,4.1745
1,baseline,4,size,SF,4,6.125,2.375
1,baseline,4,size,SF,4,5.5,2.55
1,baseline,0.25,size,SF,8,11.125,1.4502
1,baseline,0.25,size,SF,8,13.25,1.1129
1,baseline,0.25,size,SF,8,12.5,1.3002
