Participant, Proportion, BaseSize, Setting, RT
2,1.41,8,3.1623,6.3786
2,1.41,8,3.4385,3.0304
2,2,8,4.2391,6.0007
2,2,8,4.4203,2.8332
2,2,8,3.5855,2.3676
2,2,8,4.4203,2.3833
2,4,8,3.7388,4.5212
2,4,8,4.0653,5.4977
2,4,8,4.6093,4.2725
2,4,8,3.4385,6.8364
2,0.25,8,3.4385,4.8814
2,0.25,8,3.0326,4.6033
2,0.25,8,2.789,2.9405
2,0.25,8,2.789,3.6057
2,0.5,8,4.8064,1.8171
2,0.5,8,3.5855,5.7429
2,0.5,8,3.4385,3.7826
2,0.5,8,3.0326,3.2567
2,0.71,8,3.2975,4.4946
2,0.71,8,5.0119,4.9282
2,0.71,8,4.0653,5.2632
2,0.71,8,4.0653,2.1477
2,1,8,3.0326,3.2496
2,1,8,2.4599,2.6314
2,1,8,3.7388,2.2791
2,1,8,3.7388,3.0502
2,1.41,8,3.4385,2.9526
2,1.41,8,3.8986,3.4551
2,1.41,8,3.1623,1.4587
2,1.41,8,3.2975,4.3066
2,2,8,4.4203,4.1296
2,2,8,2.789,2.9239
2,2,8,2.6747,4.2161
2,2,8,3.5855,3.0978
2,4,8,3.8986,2.6496
2,4,8,3.1623,3.9305
2,4,8,4.6093,2.713
2,4,8,3.2975,5.6491
3,0.25,4,1.0212,4.5692
3,0.25,4,2.1695,6.3767
3,0.25,4,1.2589,5.4076
3,0.25,4,1.6184,6.9626
3,0.5,4,2.789,3.6715
3,0.5,4,3.4385,3.5761
3,0.5,4,2.0806,6.5071
3,0.5,4,3.1623,4.4902
3,0.71,4,2.789,6.2328
3,0.71,4,3.7388,6.4012
3,0.71,4,3.7388,4.6021
3,0.71,4,3.2975,4.3518
3,1,4,3.5855,4.3799
3,1,4,5.4496,4.0448
3,1,4,3.1623,2.6136
3,1,4,2.789,1.9123
3,1.41,4,5.2261,5.2606
3,1.41,4,4.6093,4.8718
3,1.41,4,3.8986,3.4402
3,1.41,4,3.8986,2.3582
3,2,4,7.3053,1.9047
3,2,4,4.8064,2.9392
3,2,4,5.2261,5.7094
3,2,4,3.7388,2.34
3,4,4,5.6826,5.382
3,4,4,4.4203,3.0416
3,4,4,6.443,4.8287
3,4,4,5.2261,2.4925
3,0.25,4,2.9083,3.3204
3,0.25,4,1.4274,5.0999
3,0.25,4,4.4203,2.2477
3,0.25,4,1.7598,3.6042
3,0.5,4,3.5855,3.6732
3,0.5,4,3.0326,4.6614
3,0.5,4,2.0806,3.2981
3,0.5,4,3.8986,4.5389
3,0.71,4,3.5855,2.338
3,0.71,4,3.2975,6.2948
3,0.71,4,3.2975,2.6176
3,0.71,4,3.7388,4.2372
3,1,4,3.5855,3.1257
3,1,4,2.6747,2.9291
3,1,4,3.5855,3.4838
3,1,4,3.7388,3.8083
3,1.41,4,5.0119,3.7283
3,1.41,4,3.5855,3.5456
3,1.41,4,4.2391,3.5727
3,1.41,4,4.0653,5.3213
3,2,4,3.5855,4.0286
3,2,4,2.4599,3.0738
3,2,4,3.5855,4.927
3,2,4,4.4203,3.6945
3,4,4,5.9255,1.0869
3,4,4,3.4385,8.7641
3,4,4,4.8064,6.0856
3,4,4,3.5855,5.703
3,0.25,8,2.0806,4.0765
3,0.25,8,2.2623,6.2364
3,0.25,8,1.9953,4.6465
3,0.25,8,2.789,5.7032
3,0.5,8,3.5855,4.2001
3,0.5,8,3.1623,2.4431
3,0.5,8,2.6747,4.7652
3,0.5,8,3.8986,6.9068
3,0.71,8,5.2261,2.9635
3,0.71,8,2.789,2.4763
3,0.71,8,3.7388,1.9187
3,0.71,8,3.2975,3.374
3,1,8,4.4203,1.1733
3,1,8,3.4385,2.0544
3,1,8,3.4385,4.6246
3,1,8,3.5855,2.1443
3,1.41,8,3.5855,4.0522
3,1.41,8,3.2975,1.9863
3,1.41,8,6.1789,3.7751
3,1.41,8,4.0653,2.6315
3,2,8,5.9255,3.0778
3,2,8,3.8986,2.7649
3,2,8,6.443,1.0109
3,2,8,5.0119,1.2067
3,4,8,4.8064,1.8315
3,4,8,6.443,7.6739
3,4,8,6.1789,3.4726
3,4,8,6.7185,4.2628
3,0.25,8,1.9953,4.7808
3,0.25,8,1.9953,4.933
3,0.25,8,2.565,2.2661
3,0.25,8,1.9953,2.2143
3,0.5,8,3.2975,3.1318
3,0.5,8,3.8986,5.4503
3,0.5,8,3.1623,5.3584
3,0.5,8,2.9083,2.4728
3,0.71,8,3.0326,5.8784
3,0.71,8,3.7388,3.6506
3,0.71,8,3.2975,3.9077
3,0.71,8,3.4385,2.6675
3,1,8,2.9083,3.8169
3,1,8,3.1623,2.923
3,1,8,4.8064,4.3545
3,1,8,4.4203,3.3949
3,1.41,8,3.0326,2.6465
3,1.41,8,4.0653,3.1475
3,1.41,8,3.8986,2.5052
3,1.41,8,3.5855,2.641
3,2,8,3.5855,4.1117
3,2,8,3.1623,3.2999
3,2,8,5.0119,3.8623
3,2,8,5.2261,3.1762
3,4,8,4.6093,5.3881
3,4,8,4.2391,9.1286
3,4,8,5.9255,3.9762
3,4,8,3.2975,7.953
4,0.25,4,0.82829,8.4707
4,0.25,4,3.2975,7.5469
4,0.25,4,1.9135,7.6031
4,0.25,4,3.0326,21.5333
4,0.5,4,3.0326,6.4412
4,0.5,4,4.4203,6.6399
4,0.5,4,3.5855,7.2578
4,0.5,4,3.7388,6.4019
4,0.71,4,3.0326,7.3217
4,0.71,4,3.5855,3.9117
4,0.71,4,4.0653,6.1256
4,0.71,4,3.4385,6.4196
4,1,4,4.2391,4.3039
4,1,4,5.2261,5.6473
4,1,4,3.8986,3.8164
4,1,4,4.4203,3.5779
4,1.41,4,6.1789,7.7592
4,1.41,4,5.0119,4.8954
4,1.41,4,4.4203,1.8665
4,1.41,4,4.8064,3.1682
4,2,4,6.443,11.8046
4,2,4,4.6093,3.0366
4,2,4,5.0119,5.0589
4,2,4,5.2261,2.6737
4,4,4,5.2261,11.8367
4,4,4,4.8064,4.8888
4,4,4,4.8064,5.9874
4,4,4,5.2261,11.2013
4,0.25,4,10.6481,6.6868
4,0.25,4,2.789,5.0517
4,0.25,4,7.0057,3.5428
4,0.25,4,3.8986,4.2543
4,0.5,4,10.2115,10.9584
4,0.5,4,2.9083,2.1619
4,0.5,4,2.6747,2.3472
4,0.5,4,3.8986,7.9292
4,0.71,4,3.8986,3.0107
4,0.71,4,3.8986,3.6415
4,0.71,4,3.5855,2.5632
4,0.71,4,5.9255,5.0884
4,1,4,3.2975,1.8722
4,1,4,3.2975,2.3833
4,1,4,4.0653,5.2065
4,1,4,7.3053,3.1633
4,1.41,4,3.5855,16.6741
4,1.41,4,4.8064,4.0529
4,1.41,4,5.0119,3.6247
4,1.41,4,5.2261,3.9513
4,2,4,3.5855,2.3264
4,2,4,3.2975,2.0387
4,2,4,5.4496,6.8587
4,2,4,7.0057,8.1512
4,4,4,7.6176,2.5426
4,4,4,7.3053,3.6581
4,4,4,5.4496,5.1181
4,4,4,5.0119,4.6568
4,0.25,8,3.4385,14.5942
4,0.25,8,5.4496,5.3305
4,0.25,8,3.0326,4.2385
4,0.25,8,2.789,4.1786
4,0.5,8,3.7388,4.5323
4,0.5,8,3.2975,4.3265
4,0.5,8,2.565,3.9538
4,0.5,8,3.1623,2.9359
4,0.71,8,3.7388,5.7378
4,0.71,8,2.1695,7.4843
4,0.71,8,3.8986,4.1104
4,0.71,8,3.1623,1.829
4,1,8,4.2391,3.3124
4,1,8,3.5855,3.8216
4,1,8,4.4203,3.0031
4,1,8,2.4599,4.2305
4,1.41,8,4.4203,6.2738
4,1.41,8,5.4496,4.2313
4,1.41,8,3.0326,3.0957
4,1.41,8,4.6093,6.0528
4,2,8,5.2261,5.2635
4,2,8,5.0119,4.2226
4,2,8,3.2975,3.4148
4,2,8,4.2391,5.1169
4,4,8,7.0057,3.4756
4,4,8,3.7388,6.7633
4,4,8,4.6093,2.9318
4,4,8,3.4385,5.5632
4,0.25,8,3.4385,14.5942
4,0.25,8,5.4496,5.3305
4,0.25,8,3.0326,4.2385
4,0.25,8,2.789,4.1786
4,0.5,8,3.7388,4.5323
4,0.5,8,3.2975,4.3265
4,0.5,8,2.565,3.9538
4,0.5,8,3.1623,2.9359
4,0.71,8,3.7388,5.7378
4,0.71,8,2.1695,7.4843
4,0.71,8,3.8986,4.1104
4,0.71,8,3.1623,1.829
4,1,8,4.2391,3.3124
4,1,8,3.5855,3.8216
4,1,8,4.4203,3.0031
4,1,8,2.4599,4.2305
4,1.41,8,4.4203,6.2738
4,1.41,8,5.4496,4.2313
4,1.41,8,3.0326,3.0957
4,1.41,8,4.6093,6.0528
4,2,8,5.2261,5.2635
4,2,8,5.0119,4.2226
4,2,8,3.2975,3.4148
4,2,8,4.2391,5.1169
4,4,8,7.0057,3.4756
4,4,8,3.7388,6.7633
4,4,8,4.6093,2.9318
4,4,8,3.4385,5.5632
5,0.25,4,0.79433,2.4089
5,0.25,4,0.76176,17.0021
5,0.25,4,0.82829,2.3604
5,0.25,4,6.7185,6.6887
5,0.5,4,4.0653,4.3676
5,0.5,4,3.0326,2.2798
5,0.5,4,3.4385,3.3123
5,0.5,4,4.0653,4.3443
5,0.71,4,3.7388,2.9644
5,0.71,4,4.4203,3.0991
5,0.71,4,2.565,4.2436
5,0.71,4,4.6093,2.8506
5,1,4,7.0057,3.0492
5,1,4,5.4496,5.5094
5,1,4,4.2391,3.0518
5,1,4,4.2391,4.6036
5,1.41,4,7.3053,2.5282
5,1.41,4,6.1789,4.0415
5,1.41,4,4.4203,3.0147
5,1.41,4,5.2261,3.0451
5,2,4,5.9255,5.296
5,2,4,5.2261,7.0104
5,2,4,4.4203,3.1593
5,2,4,5.6826,4.5887
5,4,4,8.637,4.1328
5,4,4,5.9255,3.9466
5,4,4,6.443,4.7924
5,4,4,5.9255,3.2385
5,0.25,4,2.4599,6.5258
5,0.25,4,2.6747,2.8908
5,0.25,4,4.2391,6.3001
5,0.25,4,2.789,5.6979
5,0.5,4,3.2975,4.241
5,0.5,4,3.7388,5.2587
5,0.5,4,3.1623,5.8408
5,0.5,4,3.5855,2.8434
5,0.71,4,2.1695,2.9955
5,0.71,4,4.8064,2.9283
5,0.71,4,3.1623,5.6514
5,0.71,4,3.5855,4.3667
5,1,4,3.8986,3.8522
5,1,4,4.6093,2.8696
5,1,4,3.1623,4.5613
5,1,4,3.7388,2.803
5,1.41,4,3.7388,2.7712
5,1.41,4,4.0653,3.2013
5,1.41,4,4.4203,2.1965
5,1.41,4,3.8986,3.784
5,2,4,4.2391,4.2212
5,2,4,3.8986,2.1549
5,2,4,4.6093,3.3435
5,2,4,3.0326,4.5182
5,4,4,5.2261,5.42
5,4,4,2.789,6.3583
