Participant, Proportion, BaseSize, Setting, RT
8,0.5,4,5.0119,3.7888
8,0.5,4,3.2975,4.4002
8,0.71,4,3.4385,4.0015
8,0.71,4,4.2391,4.7819
8,0.71,4,4.0653,6.1202
8,0.71,4,4.6093,6.0859
8,1,4,5.2261,5.3358
8,1,4,5.0119,4.3928
8,1,4,4.6093,5.6207
8,1,4,3.1623,1.7938
8,1.41,4,3.4385,1.9087
8,1.41,4,4.0653,1.5487
8,1.41,4,4.4203,3.7279
8,1.41,4,4.4203,6.8573
8,2,4,5.0119,4.0501
8,2,4,5.2261,1.7347
8,2,4,5.0119,3.3914
8,2,4,4.8064,5.4063
8,4,4,4.6093,4.2127
8,4,4,5.6826,8.4151
8,4,4,4.6093,6.0507
8,4,4,4.6093,2.612
8,0.25,8,3.1623,4.7053
8,0.25,8,2.6747,2.4012
8,0.25,8,4.2391,6.1669
8,0.25,8,3.7388,6.1517
8,0.5,8,3.4385,4.2513
8,0.5,8,3.1623,5.2289
8,0.5,8,5.0119,3.2443
8,0.5,8,4.4203,3.9646
8,0.71,8,3.1623,4.6258
8,0.71,8,3.5855,6.3833
8,0.71,8,3.5855,3.3965
8,0.71,8,5.6826,7.1481
8,1,8,4.6093,4.3338
8,1,8,5.0119,6.5664
8,1,8,4.2391,2.9436
8,1,8,4.4203,2.5799
8,1.41,8,4.0653,3.0546
8,1.41,8,3.2975,2.6232
8,1.41,8,3.4385,3.9884
8,1.41,8,5.9255,5.5959
8,2,8,3.7388,4.9089
8,2,8,4.2391,4.7616
8,2,8,4.6093,4.4903
8,2,8,6.443,3.9287
8,4,8,3.1623,6.8415
8,4,8,4.6093,6.3413
8,4,8,5.9255,2.9495
8,4,8,4.6093,4.5268
8,0.25,8,3.2975,2.8436
8,0.25,8,4.0653,3.2375
8,0.25,8,3.7388,5.9235
8,0.25,8,5.0119,5.5216
8,0.5,8,5.0119,3.8213
8,0.5,8,4.2391,2.5911
8,0.5,8,2.0806,2.0166
8,0.5,8,4.0653,3.7265
8,0.71,8,4.6093,2.0951
8,0.71,8,4.4203,2.2856
8,0.71,8,4.6093,3.3081
8,0.71,8,4.0653,4.7085
8,1,8,4.6093,3.434
8,1,8,3.8986,3.6947
8,1,8,3.7388,5.9201
8,1,8,4.8064,3.1396
8,1.41,8,4.0653,2.4724
8,1.41,8,5.4496,1.5292
8,1.41,8,5.2261,6.9874
8,1.41,8,3.5855,4.4574
8,2,8,3.8986,3.3167
8,2,8,4.0653,1.4793
8,2,8,4.0653,5.3088
8,2,8,6.1789,3.1886
8,4,8,5.2261,5.9073
8,4,8,5.2261,1.1438
8,4,8,7.0057,6.4531
8,4,8,5.9255,6.499
